"[0] CityCustomComperatorDistancePopulation","finalValue","isMatch","label"
"0.004447253199318824","0.004447253199318824","false","0"
"1.0","1.0","true","1"
"1.0","1.0","true","1"
"0.0020356706235499233","0.0020356706235499233","false","0"
"1.0","1.0","true","1"
"1.0","1.0","true","1"
"1.0","1.0","true","1"
"0.008538579276397784","0.008538579276397784","false","0"
"1.0","1.0","true","1"
"0.016753764925610093","0.016753764925610093","false","0"
"0.0025231512597635453","0.0025231512597635453","false","0"
"0.027011860628037287","0.027011860628037287","false","0"
"0.005913005231136137","0.005913005231136137","false","0"
"0.0036928331867744912","0.0036928331867744912","false","0"
"1.0","1.0","true","1"
"1.0","1.0","true","1"
"1.0","1.0","true","1"
"0.008445592372797184","0.008445592372797184","false","0"
"0.015269933510359768","0.015269933510359768","false","0"
"1.0","1.0","true","0"
"0.003263982848262126","0.003263982848262126","false","0"
"0.007025697171519685","0.007025697171519685","false","0"
"1.0","1.0","true","1"
"1.0","1.0","true","1"
"1.0","1.0","true","1"
"1.0","1.0","true","1"
"1.0","1.0","true","1"
"0.022736303141132952","0.022736303141132952","false","0"
"0.025752848334016254","0.025752848334016254","false","0"
"1.0","1.0","true","1"
"0.0787019437023786","0.0787019437023786","false","0"
"1.0","1.0","true","1"
"0.01814111753274772","0.01814111753274772","false","0"
"0.007837655627228934","0.007837655627228934","false","0"
"1.0","1.0","true","1"
"1.0","1.0","true","1"
"0.04946094241897381","0.04946094241897381","false","0"
"0.01843217712232914","0.01843217712232914","false","0"
"0.04909864389828866","0.04909864389828866","false","0"
"1.0","1.0","true","1"
"0.01571371729809312","0.01571371729809312","false","0"
"1.0","1.0","true","1"
"0.015555686373561306","0.015555686373561306","false","0"
"0.027002061959840784","0.027002061959840784","false","0"
"1.0","1.0","true","1"
"0.03326475639819304","0.03326475639819304","false","0"
"0.03495351905700583","0.03495351905700583","false","0"
"1.0","1.0","true","1"
"0.03758965507027601","0.03758965507027601","false","0"
"0.014085552980458882","0.014085552980458882","false","0"
"0.007193853187092314","0.007193853187092314","false","0"
"0.003975223891651947","0.003975223891651947","false","0"
"0.0012209010696657696","0.0012209010696657696","false","0"
"0.02280428999814177","0.02280428999814177","false","0"
"1.0","1.0","true","1"
"1.0","1.0","true","1"
"1.0","1.0","true","1"
"0.014410864392755407","0.014410864392755407","false","0"
"0.0029051178819694545","0.0029051178819694545","false","0"
"0.014105778481680487","0.014105778481680487","false","0"
"0.01752154593024957","0.01752154593024957","false","0"
"0.017535216415378807","0.017535216415378807","false","0"
"0.010232765834364277","0.010232765834364277","false","0"
"0.021512706315023777","0.021512706315023777","false","0"
"0.005196731361585938","0.005196731361585938","false","0"
"0.0511628955586394","0.0511628955586394","false","0"
"1.0","1.0","true","1"
"1.0","1.0","true","1"
"0.007654023039267321","0.007654023039267321","false","0"
"0.006468634883231905","0.006468634883231905","false","0"
"1.0","1.0","true","1"
"0.0019378379561655334","0.0019378379561655334","false","0"
"1.0","1.0","true","1"
"0.10508947277935532","0.10508947277935532","false","0"
"1.0","1.0","true","1"
"0.02628541336037926","0.02628541336037926","false","0"
"0.03029275153923905","0.03029275153923905","false","0"
"0.08032571170270586","0.08032571170270586","false","0"
"1.0","1.0","true","1"
"0.002082204319520886","0.002082204319520886","false","0"
"0.05725359122763063","0.05725359122763063","false","0"
"0.025115412436220175","0.025115412436220175","false","0"
"0.005363363515832109","0.005363363515832109","false","0"
"1.0","1.0","true","1"
"0.0035990490798692987","0.0035990490798692987","false","0"
"0.011672212310814722","0.011672212310814722","false","0"
"0.02916008104594059","0.02916008104594059","false","0"
"0.02687129865428539","0.02687129865428539","false","0"
"0.0047758108821689405","0.0047758108821689405","false","0"
"0.041065770604269636","0.041065770604269636","false","0"
"1.0","1.0","true","1"
"1.0","1.0","true","1"
"0.027479999190114346","0.027479999190114346","false","0"
"0.42029451533134243","0.42029451533134243","false","0"
"0.023143294958246408","0.023143294958246408","false","0"
"1.0","1.0","true","1"
"0.004647597090169486","0.004647597090169486","false","0"
"0.0018579977861931107","0.0018579977861931107","false","0"
"1.0","1.0","true","1"
"0.006414137453783497","0.006414137453783497","false","0"
"0.019942172660353474","0.019942172660353474","false","0"
"0.018733952230133966","0.018733952230133966","false","0"
